stock_id,price,vol_rating
1,31.67,0.38
2,25.06,0.97
3,112.71,0.77
4,86.89,0.74
5,59.82,0.45
6,115.24,0.47
7,130.39,0.93
8,93.52,0.84
9,116.05,0.72
10,153.85,0.44
11,58.78,0.43
12,182.70,0.79
13,132.60,0.90
14,163.23,0.65
15,124.77,0.56
16,115.03,0.42
17,180.80,0.20
18,52.38,0.84
19,109.80,0.36
20,112.33,0.99
21,140.66,0.23
22,129.81,0.71
23,70.10,0.52
24,118.43,0.82
25,87.67,0.95
26,66.32,0.47
27,161.34,0.91
28,194.00,0.47
29,134.89,0.12
30,132.18,0.33
31,194.16,0.11
32,96.35,0.79
33,191.44,0.98
34,13.24,0.19
35,10.17,0.65
36,98.79,0.12
37,91.61,0.59
38,49.30,0.12
39,15.49,0.80
40,199.48,0.86
41,32.98,0.94
42,151.96,0.26
43,32.19,1.00
44,86.71,0.59
45,58.07,0.81
46,41.47,0.90
47,128.63,0.22
48,93.17,0.29
49,116.65,0.14
50,159.48,0.62
51,170.25,0.40
52,48.74,0.98
53,32.68,0.26
54,144.60,0.76
55,106.63,0.65
56,127.99,0.27
57,61.59,0.67
58,90.28,0.16
59,31.83,0.57
60,64.67,0.41
61,93.86,0.81
62,72.47,0.11
63,164.03,0.60
64,150.94,0.79
65,132.16,0.31
66,54.40,0.85
67,9.31,0.52
68,74.01,0.52
69,28.10,0.93
70,146.66,0.12
71,29.46,0.93
72,8.80,0.68
73,178.06,0.54
74,173.83,0.65
75,189.87,0.12
76,127.10,0.13
77,179.50,0.15
78,85.50,0.45
79,80.56,0.37
80,191.32,0.80
81,157.42,0.68
82,10.57,0.54
83,68.31,0.82
84,187.33,0.64
85,84.61,0.48
86,91.54,0.25
87,78.52,0.58
88,58.67,0.72
89,24.52,0.99
90,135.25,0.12
91,1.12,0.30
92,28.18,0.53
93,170.00,0.24
94,195.91,0.22
95,33.72,0.80
96,117.08,0.55
97,18.97,0.41
98,47.48,0.37
99,4.18,0.77
100,48.94,0.38
